127.0.0.1 - - [11/Sep/2020:09:33:24 +0800] "GET / HTTP/1.1" 404 679
0:0:0:0:0:0:0:1 - - [11/Sep/2020:09:37:36 +0800] "GET /JSPTest/calculator.jsp HTTP/1.1" 200 134
0:0:0:0:0:0:0:1 - - [11/Sep/2020:09:37:36 +0800] "GET /JSPTest/calculator.jsp HTTP/1.1" 200 134
0:0:0:0:0:0:0:1 - - [11/Sep/2020:09:37:36 +0800] "GET /JSPTest/calculator.jsp HTTP/1.1" 200 134
0:0:0:0:0:0:0:1 - - [11/Sep/2020:09:37:44 +0800] "GET /JSPTest/calculator.jsp HTTP/1.1" 200 150
0:0:0:0:0:0:0:1 - - [11/Sep/2020:09:38:22 +0800] "GET /JSPTest/calculator.jsp HTTP/1.1" 200 154
0:0:0:0:0:0:0:1 - - [11/Sep/2020:09:38:32 +0800] "GET /JSPTest/calculator.jsp HTTP/1.1" 200 134
0:0:0:0:0:0:0:1 - - [11/Sep/2020:09:38:35 +0800] "GET /JSPTest/calculator.jsp HTTP/1.1" 200 134
0:0:0:0:0:0:0:1 - - [11/Sep/2020:09:38:35 +0800] "GET /JSPTest/calculator.jsp HTTP/1.1" 200 134
0:0:0:0:0:0:0:1 - - [11/Sep/2020:09:38:36 +0800] "GET /JSPTest/calculator.jsp HTTP/1.1" 200 134
0:0:0:0:0:0:0:1 - - [11/Sep/2020:09:39:14 +0800] "GET /JSPTest/calculator.jsp HTTP/1.1" 200 134
0:0:0:0:0:0:0:1 - - [11/Sep/2020:09:39:39 +0800] "GET /JSPTest/calculator.jsp HTTP/1.1" 200 134
0:0:0:0:0:0:0:1 - - [11/Sep/2020:09:40:40 +0800] "GET /JSPTest/calculator.jsp HTTP/1.1" 500 134
0:0:0:0:0:0:0:1 - - [11/Sep/2020:09:41:03 +0800] "GET /JSPTest/calculator.jsp HTTP/1.1" 500 134
0:0:0:0:0:0:0:1 - - [11/Sep/2020:09:43:17 +0800] "GET /JSPTest/calculator.jsp HTTP/1.1" 500 188
0:0:0:0:0:0:0:1 - - [11/Sep/2020:09:44:43 +0800] "GET /JSPTest/calculator.jsp HTTP/1.1" 500 3099
0:0:0:0:0:0:0:1 - - [11/Sep/2020:09:45:22 +0800] "GET /JSPTest/calculator.jsp HTTP/1.1" 500 2800
0:0:0:0:0:0:0:1 - - [11/Sep/2020:09:46:27 +0800] "GET /JSPTest/calculator.jsp HTTP/1.1" 500 2854
0:0:0:0:0:0:0:1 - - [11/Sep/2020:09:46:45 +0800] "GET /JSPTest/calculator.jsp HTTP/1.1" 500 2797
0:0:0:0:0:0:0:1 - - [11/Sep/2020:09:47:23 +0800] "GET /JSPTest/error.jsp HTTP/1.1" 500 2153
0:0:0:0:0:0:0:1 - - [11/Sep/2020:09:47:51 +0800] "GET /JSPTest/error.jsp HTTP/1.1" 500 2153
0:0:0:0:0:0:0:1 - - [11/Sep/2020:09:48:25 +0800] "GET /JSPTest/error.jsp HTTP/1.1" 200 142
